name,affiliation
Faheem Qumar,FLEXOPTIX GMBH
Faisal Mahmud,"SUN MICROSYSTEMS, INC."
Faisal Shah,MCI COMMUNICATIONS
Falko Dressler,UNIVERSITY OF ERLANGEN-NUREMBERG
Fan Kong,CISCO SYSTEMS INC
Fang Li,"CATR,MIIT,CHINA"
Fangchun Yang,BEIJING UNIVERSITY OF POSTS AND TELECOMMUNICATIONS
Faramak Vakil,TELCORDIA TECHNOLOGIES
Fardad Farahmand,SONUS NETWORKS LIMITED
Farhad Anklesaria,UNIVERSITY OF MINNESOTA
Fariba Ameri,ERICSSON AB
Farid Adrangi,INTEL CORPORATION
Farid Khatizov,NORTEL NETWORKS LIMITED
Farooq Anjum,TELCORDIA TECHNOLOGIES
Farrell Woods,DIGITAL EQUIPMENT
Farrukh Khan,CHEJU NATIONAL UNIVERSITY KOREA
Farzad Safaei,TELSTRA CORPORATION LIMITED
Farzana Mithun,UN WFP
Farzi Khazai,NORTEL NETWORKS LIMITED
Fawzi Behmann,NORTEL NETWORKS LIMITED
Faye Ly,JUNIPER NETWORKS
Fearghas Mckay,FLEXOPTIX GMBH
Federico Andrade,NTT
Federico De Juan,ALCATEL
Federico Garcia,INTELIGLOBE
Federico Lucifredi,HARVARD
Feiling Jia,SBC TECHNOLOGIES
Felipe Huici,NEC CORPORATION
Felix Aeschlimann,SWISSMED MOBILE AG
Felix Durwald,DIONERA GMBH
Felix Kugler,SWITCH
Felix Tossan,IBM
Felix Wu,UNIVERSITY OF CALIFORNIA - DAVIS
Felix Xavier,"NOVELL, INC."
Ferdinand Periquet,BAY NETWORKS
Fergal Ladley,ERICSSON AB
Fergal Murray,AEP NETWORKS
Fergal Ward,INTUNE NETWORKS
Ferit Yegenoglu,LOCKHEED MARTIN CORPORATION
Fernando Arocena,MAZALAN
Fernando Arredondo,NETWORK INFORMATION CENTER MEXICO
Fernando De Oliveira,INTERDIGITAL COMMUNICATIONS
Fernando Jover Aparicio,BRITISH TELECOMMUNICATIONS PLC
Fernando Vicens,IPLAN
Fida Khattak,AALTO UNIVERSITY
Fidelia Kuang,APPLE INC.
Finn Arildsen,ERICSSON AB
Fiona Keane,FUJITSU LIMITED
Flemming Heino,BRITISH TELECOMMUNICATIONS PLC
Florent Bersani,ORANGE SA
Florent Parent,CLUMEQ
Florentijn Van Kampen,KPN
Florian Echtler,MUNICH UNIV. OF APPLIED SCIENCE
Florian Pfeiffer,MICHAELI GYMNASIUM
Fong-Ching Liaw,"SUN MICROSYSTEMS, INC."
Forest Preston,HITACHI LTD
Forrest Ng,HK SUPERNET
Franca Fiumana,"INFN, NATIONAL INSTITUTE FOR NUCLEAR PHYSICS, ITALY"
Francesco Borazzo,UNIVERSITY OF TURIN
Francesco Consoli,CSELT CENTRO STUDI E LABORATORI TELECOMUNICATIOZIONI S.P.A
Francesco Iuso,TELECOM ITALIA S.P.A
Francesco Nerieri,GOOGLE
Francesco Prato,SIEMENS AG
Francesco Prudente,TELECOM ITALIA S.P.A
Francesco Pugliese,TELECOM ITALIA S.P.A
Francis Arts,ALCATEL
Francis Dinha,NEWCOM TECHNOLOGIES
Francis Gauche,ORANGE SA
Francis Leung,MOTOROLA MOBILITY
Francisco Corella,HEWLETT-PACKARD COMPANY
Francisco Correa,NETWORK INFORMATION CENTER MEXICO
Francisco Da Silva,PORTUGAL TELECOM
Francisco Javier Acosta Padilla,INRIA INSTITUT NATIONAL DE RECHERCHE EN INFORMATIQUE ET EN AUTOMATIQUE
Francisco Thayer,"MITRE CORPORATION, THE"
Franck Le,NOKIA
Franck Veysset,ORANGE SA
Francois Bertret,ORANGE SA
Francois Bessette,CASTLETON NETWORK SYSTEMS
Francois Billaut,ORANGE SA
Francois Bourdais,ORANGE SA
Francois Brichet,ORANGE SA
Francois Cosquer,ALCATEL
Francois Dorgeuille,ALCATEL-LUCENT S.A
Francois Humbert,ORANGE SA
Francois Kermarec,NORTEL NETWORKS LIMITED
Francois Mercier,ORANGE SA
Francois Perrault,BUNYIP INFORMATION SYSTEMS INC.
Francois Toutain,ENST BRETAGNE
Francois Yergeau,ALIS TECHNOLOGIES
Francois-Arnaud Remael,ORANGE SA
Francois-Xavier Guitton,ALCATEL
Franjo Majstor,CISCO SYSTEMS INC
Frank Alfano,LUCENT TECHNOLOGIES
Frank Andersen,SIEMENS AG
Frank Balluffi,VALICERT INC
Frank Blankman,NORDUNET
Frank Cannata,ENTERASYS NETWORKS
Frank Chao,NORTHROP CORPORATION
Frank Chen,NETSCAPE COMMUNICATIONS
Frank Ciotti,TELXON
Frank Dawson,LOTUS DEVELOPMENT CORPORATION
Frank De Lange,UNISOURCE
Frank Gay,SIEMENS AG
Frank Geldner,CISCO SYSTEMS INC
Frank Gruber,IBM
Frank Hansen,TELENOR
Frank Hsieh,DELTA NETWORKS
Frank Huguenard,ICAST CORPORATION
Frank Hujber,LOCKHEED MARTIN CORPORATION
Frank Hundscheidt,ERICSSON AB
Frank Hunleth,SALIX TECHNOLOGIES
Frank Kaefer,"SUN MICROSYSTEMS, INC."
Frank Kastenholz,JUNIPER NETWORKS
Frank Kowalewski,INFINEON TECHNOLOGIES
Frank Lee,AIMQUEST CORPORATION
Frank Liu,PACIFIC BELL
Frank Luennemann,DEUTSCHE TELEKOM AG
Frank Mildner,DEUTSCHE TELEKOM AG
Frank Neil,BAY NETWORKS
Frank Nnebe,AFRINIC
Frank Pearce,UNIVERSITY OF TORONTO
Frank Peeters,ALCATEL
Frank Preiss,SIEMENS AG
Frank Reichert,ERICSSON AB
Frank Siebenlist,ARGONNE NATIONAL LABORATORY
Frank Stutzman,SOFTBANK MOBILE CORP.
Frank Tetzlaff,DEUTSCHE TELEKOM AG
Frank Thompson,AFILIAS
Frank Wetzels,SARA COMPUTING NETWORKING SERVICES
Frank Zhao,PANASONIC CORPORATION
Franklin Reynolds,NOKIA
Frans Haerens,ALCATEL
Franz Egger,SIEMENS AG
Franziskus Kiefer,MOZILLA FOUNDATION
Fred Bauer,PACKETHOP
Fred Engel,CONCORD COMMUNICATIONS
Fred Gray,TELEDYNE BROWN ENGINEERING
Fred Harrison,BRITISH TELECOMMUNICATIONS PLC
Fred Kujawski,AMERITECH
Fred Runge,DEUTSCHE TELEKOM AG
Fred Shirley,SANDERS
Fred Wittenberg,COMCAST
Fred Yip,CISCO SYSTEMS INC
Fred Ziegler,ASPEN TECHNOLOGY
Frederic Berrouet,ALCATEL
Frederic Froye,EMC
Frederic Huve,HEWLETT-PACKARD COMPANY
Frederic Laruelle,JUNIPER NETWORKS
Frederic Le Garrec,ORANGE SA
Frederic Maze,CANON
Frederic Rossi,ERICSSON AB
Frederic Roudaut,INRIA INSTITUT NATIONAL DE RECHERCHE EN INFORMATIQUE ET EN AUTOMATIQUE
Frederick Budd,WILTEL COMMUNICATIONS
Frederick Chong,MICROSOFT
Frederick Enns,HYBRID NETWORKS INC
Frederick Fahrbach,CISCO SYSTEMS INC
Frederick Hunter,METAINFO INC.
Frederick Reyes,NCTS WASHINGTON DC
Frederick Serr,CISCO SYSTEMS INC
Frederico Faria,UFMG E INTEC TELECOM SYSTEMS
Frederik Andersen,INTEL CORPORATION
Frederik Hauser,UNIVERSITY OF TUEBINGEN
Fredric Arvidsson,TELIA AB
Fredrik Alriksson,ERICSSON AB
Fredrik Engvall,PI.SE AB
Fredrik Gratte,OWERA
Fredrik Gustafsson,AV-SYSTEM
Fredrik Johansson,IPUNPLUGGED
Freemon Johnson Iii,NASA
Frode Greisen,EBONE INC.
Fu Tao,ZTE
Fuchun Lin,BELLCORE
Fuller Vince,CISCO SYSTEMS INC
Fumiaki Sato,SHIZUOKA UNIV FACULTY OF INFORMATION
Fumiaki Suzuki,PANASONIC CORPORATION
Fumihiro Taniguchi,NEC CORPORATION
Fumiko Matsumoto,COMMUNICATIONS RESEARCH LABORATORY
Fumiyuki Iizuka,FUJITSU LIMITED
Funeng Liu,JUNIPER NETWORKS
Fung Hung,FUJITSU LIMITED
Fung Lim,CISCO SYSTEMS INC
Furquan Ansari,LUCENT TECHNOLOGIES
Futoshi Haga,HITACHI LTD
Gabor Feher,BME-TMIT
Gabor Fodor,ERICSSON AB
Gabriel Campuzano,TECNOLOGICO DE MONTERREY
Gabriel Cortes,GADZOOX NETWORKS
Gabriel Hecht,GADZOOX NETWORKS
Gabriel Silveyra,UNIVERSIDAD DE PALERMO
Gabriel Sotonwa,NIGERIAN POSTAL SERVICE
Gabriele Corliano,BRITISH TELECOMMUNICATIONS PLC
Gadi Evron,AFILIAS
Gaeil Ahn,ETRI - ELECTRONICS AND TELECOMMUNICATIONS RESEARCH INSTITUTE
Gaeil An,ETRI - ELECTRONICS AND TELECOMMUNICATIONS RESEARCH INSTITUTE
Gael Breard,ORANGE SA
Gaetano Carlucci,POLITECNICO DI BARI
Gail Wells,GEORGIA INSTITUTE OF TECHNOLOGY
Gaku Nakazato,JAPANESE MINISTRY
Gakuto Ozaki,FUJITSU LIMITED
Galina Pildush,JUNIPER NETWORKS
Ganesh Shankar,HEWLETT-PACKARD COMPANY
Gang Seog Lee,KISA KOREAN INFORMATION SECURITY AGENCY
Gang Wu,COMMUNICATIONS RESEARCH LABORATORY
Gangadharan Kannan,LUCENT TECHNOLOGIES
Gaogang Xie,CHINESE ACADEMY OF SCIENCES
Gareth Richards,RSA SECURITY LLC
Gargi Banerjee,MARCONI COMMUNICATIONS
Garland Phillips,MOTOROLA MOBILITY
Garrett Alexander,U.S. DEPARTMENT OF DEFENSE
Garrett Lanzy,IBM
Garrett Lo,QUALCOMM INC
Garrett Wollman,MASSACHUSETTS INSTITUTE OF TECHNOLOGY
Garry Couch,TELECORDIA
Garry Kump,IBM
Garth Gibson,PANASAS
Garth Goodson,NETWORK APPLIANCE
Gary Anderson,CYBER PATH INCORPORATED
Gary Benesko,SHL SYSTEMHOUSE
Gary Blankenship,FOUNDRY NETWORKS
Gary Borgoyne,GENERAL SERVICES ADMINISTRATION
Gary Connelly,PROCUREMENT SERVICES INTERNATIONAL
Gary Duguay,NORTEL NETWORKS LIMITED
Gary Ellison,"SUN MICROSYSTEMS, INC."
Gary Fishman,ITU - INTERNATIONAL TELECOMMUNICATION UNION
Gary Grebus,COMPAQ
Gary Greenberg,UNISPHERE NETWORKS
Gary Grube,MOTOROLA MOBILITY
Gary Harris,CISCO SYSTEMS INC
Gary Kenward,NORTEL NETWORKS LIMITED
Gary Lindsey,RSA SECURITY LLC
Gary Maxwell,NORTEL NETWORKS LIMITED
Gary Mcgreal,INFORMATION RESOURCE ENGINEERING
Gary Minden,ADVANCED RESEARCH PROJECTS AGENCY
Gary Oglesby,MCI COMMUNICATIONS
Gary Roberts,BRITISH TELECOMMUNICATIONS PLC
Gary Roediger,FERMI NATIONAL ACCELERATOR LABORATORY
Gary Roshak,REALOGIC
Gary Sacra,VERIZON
Gary Stoneley,VIRATA CORPORATION
Gary Sullivan,PICTURETEL CORP
Gary Tomlinson,SONICWALL INC.
Gary Veum,NASA
Gary Yang,CISCO SYSTEMS INC
Gaspare Licitra,SIEMENS AG
Gaurav Kulshreshtha,NEXTONE COMMUNICATION
Gautam Verma,MOTOROLA MOBILITY
Gavin Button,PANASONIC CORPORATION
Gavin Lu,VMWARE
Gavin Shearer,SPIDER SOFTWARE LTD.
Gavriel Raanan,NMS COMMUNICATIONS
Gayle Ruggeri,COMCAST
Geert Kleinhuis,KPN
Geert Nijpels,AMS-IX B.V.
Geetha Brown,NORTEL NETWORKS LIMITED
Geetha Srikantan,"SUN MICROSYSTEMS, INC."
Gehrett Ellis,KI DIGITAL
Geir Arne Sandbakken,CISCO SYSTEMS INC
Gen Motoyoshi,NEC CORPORATION
Genadi Velev,PANASONIC CORPORATION
Gene Bowen,SPRINT CORPORATION
Gene Lamoureaux,"NOVELL, INC."
Gene Lew,NEUSTAR INC
Gene Ma,AEROSPACE CORPORATION
Gene Tsudik,IBM
Gene Yahnes,SALARE SECURITY LLC
Geoff Horne,INFOBLOX
Geoff Mulligan,LORA ALLIANCE
Geoff Thompson,GRACASI S.A.
Geoff White,INTERNEX INFORMATION SERVICES
Geoffrey Cristallo,ALCATEL
Geoffrey Devine,CEDAR POINT COMMUNICATIONS
Geoffrey Floyd,ZARLINK SEMICONDUCTOR
Geoffrey Garner,LUCENT TECHNOLOGIES
Geoffrey Mulligan,SUNLABS
Geoffrey Sisson,NOMINET
Geon-Woo Kim,ETRI - ELECTRONICS AND TELECOMMUNICATIONS RESEARCH INSTITUTE
Georg Carle,FRAUNHOFER GESELLSCHAFT
Georg Fischer,SIEMENS AG
Georg Haubs,SIEMENS AG
Georg Heyne,TU BERGAKADEMIE FREIBERG
Georg Kullgren,NORTEL NETWORKS LIMITED
Georg Wittenburg,INRIA INSTITUT NATIONAL DE RECHERCHE EN INFORMATIQUE ET EN AUTOMATIQUE
George Arnold,LUCENT TECHNOLOGIES
George Bucklin,FUJITSU LIMITED
George Clapp,AMERITECH
George Dongarra,COMCAST
George Eddy,CISCO SYSTEMS INC
George Foti,ERICSSON AB
George Frank,INFINERA CORP
George Gara,VIENNA SYSTEMS CORPORATION
George Georgiou,SPRINT CORPORATION
George Gross,IDENTAWARE SECURITY
George Hadjichristofi,VIRGINIA TECH
George Harper,QUALCOMM INC
George Harvey,MOTOROLA MOBILITY
George Huan,ERICSSON AB
George Jones,"MITRE CORPORATION, THE"
George Kimura,NTT
George Lake,CISCO SYSTEMS INC
George Lapiotis,TELCORDIA TECHNOLOGIES
George Liu,ERICSSON AB
George Munroe,UNITE DISCOVERY
George Mykoniatis,TELCORDIA TECHNOLOGIES
George Neville-Neil,WIND RIVER
George Oliva,U.S. ARMY
George Phillips,UNIVERSITY OF BRITISH COLUMBIA
George Popovich,MOTOROLA MOBILITY
George Powers,"NOVELL, INC."
George Rigas,COMBAT NETWORKS
George Seweryniak,U.S. DEPARTMENT OF ENERGY
George Sluz,IRONBRIDGE NETWORKS
George Taylor,CISCO SYSTEMS INC
George Tsirtsis,QUALCOMM INC
George Uhl,NASA
George Verd,"VERISIGN INTERNATIONAL HOLDINGS, INC."
George Wayne,ERICSSON AB
George Wilkie,CISCO SYSTEMS INC
George Wood,"GETNET INTERNATIONAL, INC."
George Young,MERITON NETWORKS INC
Georges Sebek,ITU - INTERNATIONAL TELECOMMUNICATION UNION
Georges-Etienne Legendre,BCE - BELL CANADA ENTERPRISES INC
Georgi Petkov,NEC CORPORATION
Georgina Schaefer,CISCO SYSTEMS INC
Georgios Zervas,UNIVERSITY OF ESSEX
Geping Chen,BAY NETWORKS
Gerald Beuchelt,"SUN MICROSYSTEMS, INC."
Gerald De Grace,LAUREL NETWORKS
Gerald Hopkins,VERIZON
Gerald Host,ERICSSON AB
Gerald Maguire,KTH - ROYAL INSTITUTE OF TECHNOLOGY
Gerald Meyer,SIEMENS AG
Gerald Neufeld,"REDBACK NETWORKS, INC."
Gerald Park,BOEING
Gerald Peterson,LUCENT TECHNOLOGIES
Gerald Redwine,CISCO SYSTEMS INC
Gerald Tonies,CISCO SYSTEMS INC
Gerald Venkatsubra,"SUN MICROSYSTEMS, INC."
Gerald Winters,MERIT NETWORK
Geraldine Bourges,ORANGE SA
Geraldine Calvignac,ORANGE SA
Gerard Berthet,INDEPENDENCE TECHNOLOGIES
Gerard Gastaud,ALCATEL
Gerard Goubert,UNIVERSITY OF NEW HAMPSHIRE
Gerard Ryan,LUCENT TECHNOLOGIES
Gerard White,BAY NETWORKS
Gerardo Giaretta,QUALCOMM INC
Gerardo Lamastra,TELECOM ITALIA S.P.A
Gerardo Suarez,UNIVERSIDAD ICESI
Gerben Kuijpers,ERICSSON AB
Gerd Hoelzing,SAP AG
Gerd Sokolies,UNIVERSITY OF DORTMUND
Gerda Von Radetzky,FREELANCE JOURNALIST
Gerhard Bogler,SIEMENS AG
Gerhard Gross,INTEL CORPORATION
Gerhard Hasslinger,DEUTSCHE TELEKOM AG
Gerhard Langenbucher,ALCATEL
Gerhard Lehnerer,MPI SOFTWARE TECHNOLOGY INC.
Gerhard Zweimueller,INFONOVA
Germano Caronni,ETH ZURICH
Gerome Bovet,ARMASUISSE SCIENCE AND TECHNOLOGY
Gerry Foster,MOTOROLA MOBILITY
Gerry Lawrence,MARCONI COMMUNICATIONS
Gerry Meyer,SHIVA CORPORATION
Gerry White,LANCITY CORPORATION
Gert Van Den Berg,UNISOURCE BUSINESS NETWORKS BV
Gery Verwimp,SIEMENS AG
Geva Patz,BBN CORPORATION
Ghassan Chaddoud,INRIA INSTITUT NATIONAL DE RECHERCHE EN INFORMATIQUE ET EN AUTOMATIQUE
Ghislaine Labouret,HERVE SCHAUER CONSULTANTS
Ghofran Hassona,IRSHID
Ghyslain Pelletier,ERICSSON AB
Gianfranco Osu,ERICSSON AB
Gianluca Ravasio,SIEMENS AG
Gianluca Rolandelli,MARCONI COMMUNICATIONS
Gianni Canal,TELECOM ITALIA S.P.A
Gianni Rossi,CSELT CENTRO STUDI E LABORATORI TELECOMUNICATIOZIONI S.P.A
Gib Ritenour,NORTEL NETWORKS LIMITED
Gideon Prat,INTEL CORPORATION
Gideon Stupp,SHEER NETWORKS
Gidon Gershinsky,IBM
Gil Young Choi,ETRI - ELECTRONICS AND TELECOMMUNICATIONS RESEARCH INSTITUTE
Gilad Itamar,RADVISION
Gilad Itmar,NEC CORPORATION
Gilbert Javier,CISCO SYSTEMS INC
Gilles Antoine,TRANSPAC
Gilles Bourdon,ORANGE SA
Gilles Delmas,KONINKLIJKE PHILIPS ELECTRONICS
Gilles Diribarne,ALCATEL
Gilles Fleury,ALCATEL
Gilles Guette,INRIA INSTITUT NATIONAL DE RECHERCHE EN INFORMATIQUE ET EN AUTOMATIQUE
Gilles Lecorgne,ORANGE SA
Gilles-Andre Morin,SHL SYSTEMHOUSE
Gillis Pahlson,TELIA AB
Gim Deisher,INTEL CORPORATION
Gina Deplanche,NMS COMMUNICATIONS
Gina Fisk,LOS ALAMOS NATIONAL LABORATORY
Ginga Kawaguti,NTT
Giovanni Cirillo,ERICSSON AB
Giovanni Fiaschi,MARCONI COMMUNICATIONS
Giovanni Marzot,SPARTA INC.
Giovanni Nucera,ERICSSON AB
Giridhara Gopalan,NET
Girija Rao,SPRINT CORPORATION
Girish Chiruvolu,ALCATEL
Girish Khezhake Veetil,"NOVELL, INC."
Girish Pahlya,LUCENT TECHNOLOGIES
Giulio Cavalli,SIEMENS AG
Giuseppe Ricagni,NORTEL NETWORKS LIMITED
Glee Cady,NETCOM
Glen Clark,CISCO SYSTEMS INC
Glen Daniels,ELF COMMUNICATIONS
Glen Freundlich,AVAYA
Glen Larwill,COMCAST
Glen Rippel,BITSTREAM
Glen Shires,INTEL CORPORATION
Glendon Whiteley,"NOVELL, INC."
Glenn Adams,"STONEHAND, INC."
Glenn Barry,"SUN MICROSYSTEMS, INC."
Glenn Brauen,ALCATEL
Glenn Chisholm,CISCO SYSTEMS INC
Glenn Colville,TELSTRA CORPORATION LIMITED
Glenn Evans,CMP TECHNOLOGY
Glenn Grotefeld,MOTOROLA MOBILITY
Glenn Lepore,GLOBALONE
Glenn Mansfield,CYBER SOLUTIONS INC.
Glenn Mcgregor,LUCENT TECHNOLOGIES
Glenn Stump,IBM
Glenn Talbott,HEWLETT-PACKARD COMPANY
Glenn Vanderburg,UNIVERSITY OF TEXAS - ARLINGTON
Glenn Waters,NORTEL NETWORKS LIMITED
Glynn Rogers,CSIRO - COMMONWEALTH SCIENTIFIC AND INDUSTRIAL RESEARCH ORGANISATION
Gnanaprakasam Pandian,CISCO SYSTEMS INC
Go Hori,REALNETWORKS INC
Goang Jun Lee,ETRI - ELECTRONICS AND TELECOMMUNICATIONS RESEARCH INSTITUTE
Godfrey Williams,NORTEL NETWORKS LIMITED
Goetz Lichtwald,UNIVERSITAET KARLSRUHE
Gokay Saldamli,BOGAZICI UNIVERSITY
Gong Xiangyang,BEIJING UNIVERSITY OF POSTS AND TELECOMMUNICATIONS
Gonguet Arnaud,ALCATEL
Gonzalo Romero,NEUSTAR INC
Gonzalo Rosa,UNIVERSIDAD NACIONAL DE ROSARIO
Gonzalo Stillo,ANTEL URUGUAY
Gopa Sen,NATIONAL UNIVERSITY OF SINGAPORE
Gopakumar Kurup,MIMOS BERHAD
Gopal Dommety,CISCO SYSTEMS INC
Gopal Iyengar,NORTEL NETWORKS LIMITED
Goran Ahling,KTH - ROYAL INSTITUTE OF TECHNOLOGY
Goran Ahlinng,CHALMERS UNIVERSITY OF TECHNOLOGY
Goran Eneroth,ERICSSON AB
Goran Malmgren,ERICSSON AB
Goran Schultz,ERICSSON AB
Gordon Beacham,MOTOROLA MOBILITY
Gordon Chaffee,UNIVERSITY OF CALIFORNIA - BERKELEY
Gordon Cook,THE COOK REPORT
Gordon Fecyk,PAN-AM INTERNET SERVICES
Gordon Good,NETSCAPE COMMUNICATIONS
Gordon Irlam,TBD
Gordon Jones,"MITRE CORPORATION, THE"
Gordon Letney,BOEING
Gordon Ma,REUTERS LIMITED
Gordon Mohr,ACTIVERSE INC.
Gordon Moore,NORTEL NETWORKS LIMITED
Gordon Thomas,UNIVERSITY OF SOUTHERN CALIFORNIA
Goro Kikuchi,CSK
Gosta Linder,ERICSSON AB
Graca Carvalho,CISCO SYSTEMS INC
Grace Wiechman,CRAY COMMUNICATIONS
Grady Seale,MASSACHUSETTS INSTITUTE OF TECHNOLOGY
Graeme Brown,BRITISH TELECOMMUNICATIONS PLC
Graeme Gibbs,NORTEL NETWORKS LIMITED
Graham Beniston,MARCONI COMMUNICATIONS
Graham Moore,SCO
Graham Phillips,UNIVERSITY OF SOUTHERN CALIFORNIA
Graham Rose,ETSI - EUROPEAN TELECOMMUNICATIONS STANDARDS INSTITUTE
Graham Travers,BRITISH TELECOMMUNICATIONS PLC
Graham Weeks,NORTEL NETWORKS LIMITED
Graham Wright,BEAME AND WHITESIDE SOFTWARE
Greeg Boland,CISCO SYSTEMS INC
Greg Althaus,IBM
Greg Berezowsky,AFILIAS
Greg Bergren,U.S. DEPARTMENT OF DEFENSE
Greg Bossert,RUTGERS UNIVERSITY
Greg Burch,QOSNETICS
Greg Burns,CISCO SYSTEMS INC
Greg Carter,ENTRUST LIMITED
Greg Celmainis,NEWBRIDGE NETWORKS
Greg Christy,JUNIPER NETWORKS
Greg Cirincione,U.S. ARMY
Greg Clark,DASCOM
Greg Cunningham,NOKIA
Greg Davis,PACKET ENGINES
Greg Hinton,PROXIM CORPORATION
Greg Jones,ITU - INTERNATIONAL TELECOMMUNICATION UNION
Greg Joyce,"TKG, INC."
Greg Kempe,UNIVERSITY OF BRITISH COLUMBIA
Greg Koester,NORTEL NETWORKS LIMITED
Greg Linn,NETWORK APPLIANCE
Greg Mckesey,MILKYWAY NETWORKS CORPORATION
Greg Meyer,INTEL CORPORATION
Greg Miller,MCI COMMUNICATIONS
Greg Nakanishi,MOTOROLA MOBILITY
Greg Perkins,PANASONIC CORPORATION
Greg Ratta,LUCENT TECHNOLOGIES
Greg Ruth,VERIZON
Greg Rutz,CABLELABS
Greg Sawyers,TELSTRA CORPORATION LIMITED
Greg Schumacher,"NEXTEL COMMUNICATIONS, INC"
Greg Sherwood,PACKETVIDEO CORP.
Greg Sidebottom,NORTEL NETWORKS LIMITED
Greg Snyder,NOKIA
Greg Torluemke,TELEDESIC
Greg Troxel,BBN CORPORATION
Greg Weber,CISCO SYSTEMS INC
Greg Wiley,THE SANTA CRUZ OPERATION
Greg Zeibari,COMCAST
Gregan Crawford,HEWLETT-PACKARD COMPANY
Greger Teigre,CISCO SYSTEMS INC
Gregg Atkins,MICROSOFT
Gregg Brekke,MINNESOTA REGIONAL NETWORK
Gregoire Seneclauze,ORANGE SA
Gregor Bautz,ERICSSON AB
Gregor Scott,U.S. DEPARTMENT OF DEFENSE
Gregor Vrecko,MG-SOFT
Gregory Bathrick,NOKIA
Gregory Catalone,SPRINT CORPORATION
Gregory Cox,MOTOROLA MOBILITY
Gregory Cunningham,FORETEC SEMINARS INC
Gregory Finn,UNIVERSITY OF SOUTHERN CALIFORNIA
Gregory Foster,BAY NETWORKS
Gregory Gee,"HUGHES NETWORK SYSTEMS, LLC"
Gregory Grabowski,QUALCOMM INC
Gregory Herlihy,MICROSOFT
Gregory Johnson,CINGULAR WIRELESS
Gregory Kisor,INTEL CORPORATION
Gregory Miller,MCI COMMUNICATIONS
Gregory Patrick,"VERISIGN INTERNATIONAL HOLDINGS, INC."
Gregory Scallan,NETSCAPE COMMUNICATIONS
Gregory Schaffer,U.S. DEPARTMENT OF JUSTICE
Gregory Soo,EMM LABS INC.
Gregory Troxel,BBN CORPORATION
Gregory Vaudreuil,ALCATEL-LUCENT S.A
Gregory Zaverucha,BLACKBERRY LIMITED
Grete Duna,UNINETT
Grigory Chudov,CRYPTO-PRO LTD
Guan Quanlong,JINAN UNIVERSITY
Guanfeng Li,HUAWEI TECHNOLOGIES
Guanghua Lan,ZTE
Guangtian Liu,SBC TECHNOLOGIES
Guangwu Hu,TSINGHUA UNIVERSITY
Guangyao Jian,XUNLEI NETWORK TECHNOLOGY CO. LTD.
Guda Venkatesh,LUCENT TECHNOLOGIES
Guenter Honisch,"ARISTA NETWORKS, INC."
Guenter Roeck,CISCO SYSTEMS INC
Guenther Koerbler,ETSI - EUROPEAN TELECOMMUNICATIONS STANDARDS INSTITUTE
Guenther Schreiner,UNIVERSITAET KARLSRUHE
Guido Aben,AGERE SYSTEMS
Guido Franceschini,TELECOM ITALIA S.P.A
Guido Loeffler,WESTFAELISCHE WILHELMS- UNIVERSITY MUENSTER
Guido Petit,ALCATEL
Guido Van Rossum,CWI
Guido Weiland,UNIVERSITY OF DORTMUND
Guido Wessendorf,UNIVERSITY OF MUENSTER
Guillaume Chelius,INRIA INSTITUT NATIONAL DE RECHERCHE EN INFORMATIQUE ET EN AUTOMATIQUE
Guillaume Teissier,ORANGE SA
Guillaume Touchette,COMBAT NETWORKS
Guillaume Valadon,UNIVERSITY OF TOKYO
Guinamand Yann,ALCATEL
Gunilla Malmqvist,ERICSSON AB
Gunnar Lindberg,CHALMERS UNIVERSITY OF TECHNOLOGY
Gunnar Olsson,ERICSSON AB
Guohui Yuan,LOCKHEED MARTIN CORPORATION
Guojie Li,CHINESE ACADEMY OF SCIENCES
Guonian Sun,CHINESE ACADEMY OF SCIENCES
Guoqing Zhang,CHINESE ACADEMY OF SCIENCES
Guoyong Huang,HUAWEI TECHNOLOGIES
Gur Kimchi,VOCALTEC COMMUNICATIONS
Gurbinder Mavi,CISCO SYSTEMS INC
Gurdeep-Singh Pall,MICROSOFT
Gursel Taskale,TALARIAN
Gurudatt Shashikumar,ORACLE
Gurusamy Sarathy,SOPHOS LIMITED
Gus Rashid,LUCENT TECHNOLOGIES
Gustavo Ayub,UNIVERSIDAD DE PALERMO
Gustavo Cubos,CIENTIFICA PERUANA
Gustavo De Leon,AMX
Gustavo Diez Nevado,JANET
Gustavo Garcia Bernardo,TELEFONICA S.A.
Guy Caron,BCE - BELL CANADA ENTERPRISES INC
Guy Davies,JUNIPER NETWORKS
Guy Harris,NETWORK APPLIANCE
Guy Middleton,ROGERS COMMUNICATION INC.
Guy Trotter,AGILENT TECHNOLOGIES INC
Guy Turcotte,VIAGENIE
Guy Wells,US WEST TECHNOLOGIES
Gwangsoo Rhee,SOOKMYUNG UNIVERSITY
Gwendolyn Huntoon,PITTSBURGH SUPERCOMPUTING CENTER
Gwenyth Fairbanks,LUCENT TECHNOLOGIES
Gyu Kim,SK TELECOM CO LTD
Gyung-Pyo Hong,KT CORPORATION
Haedong Lee,ETRI - ELECTRONICS AND TELECOMMUNICATIONS RESEARCH INSTITUTE
Haekwang Ryu,"SAMSUNG ELECTRONICS CO, LTD"
