name,affiliation
Akira Kanaoka,UNIV. OF TSUKUBA
Akira Misawa,NTT
Akira Ono,NTT
Akira Shiba,FUJITSU LIMITED
Akira Shibata,NTT
Akira Watanabe,MITSUBISHI CORPORATION
Akishige Noda,FUJITSU LIMITED
Akiteru Kamoshida,MITSUBISHI CORPORATION
Akito Kurokawa,ABOVENET COMMUNICATIONS
Akitoshi Morishima,NICT - NATIONAL INSTITUTE FOR INFORMATION AND COMMUNICATIONS TECHNOLOGY
Akshay Deshpande,"ON-RAMP TECHNOLOGIES, INC."
Al Broscius,BELLCORE
Al Potter,ICSA INC.
Al Villarica,NORTEL NETWORKS LIMITED
Al Walker,AVIAN RESEARCH
Ala Nazari,TELIA AB
Alagu Periyanna,APPLE INC.
Alagu Periyannan,APPLE INC.
Alain Briancon,MOTOROLA MOBILITY
Alak Deb,XAQTI CORPORATION
Alan Arolovitch,PEERAPP
Alan Babich,FILENET
Alan Batie,INTEL CORPORATION
Alan Berkema,HEWLETT-PACKARD COMPANY
Alan Breese,BOEING
Alan Brown,AGERE SYSTEMS
Alan Clegg,AMERICAN RESEARCH GROUP
Alan Davy,TSSG
Alan Emtage,BUNYIP INFORMATION SYSTEMS INC.
Alan Freier,NETSCAPE COMMUNICATIONS
Alan Hameed,FUJITSU LIMITED
Alan Katz,ADONIS CORPORATION
Alan Kullberg,MOTOROLA MOBILITY
Alan Lee,JITONG CO
Alan Lloyd,DATACRAFT TECHNOLOGIES PTY LTD
Alan Michie,TELSTRA CORPORATION LIMITED
Alan Peltzman,U.S. DEPARTMENT OF DEFENSE
Alan Perelman,EMULEX
Alan Piercy,WRQ INC.
Alan Quirt,NORTEL NETWORKS LIMITED
Alan Shen,MICROSOFT
Alan Smith,BRITISH TELECOMMUNICATIONS PLC
Alan So,CHINESE UNIVERSITY OF HONGKONG
Alan Steele,MIDNIGHT NETWORKS INC.
Alan Tseng,VIDIATOR
Alan Wagner,UNIVERSITY OF BRITISH COLUMBIA
Alan Yoder,NETWORK APPLIANCE
Alastair Gilbert,MARCONI COMMUNICATIONS
Alastair Rankine,AVAYA
Alban Couturier,ALCATEL
Albert Chang,COMPAQ
Albert Chen,MOTOROLA MOBILITY
Albert Greenberg,MICROSOFT
Albert Li,SBC TECHNOLOGIES
Albert Manfredi,BOEING
Albert Tramposch,WORLD INTELLECTUAL PROPERTY ORGANIZATION
Albert Vezza,FORETEC
Albert Wan,SBC TECHNOLOGIES
Albert Yuhan,"SAMSUNG ELECTRONICS CO, LTD"
Alberto Castro Casales,UNIVERSITAT POLITECNICA DE CATALUNYA
Alberto Cerpa,UNIVERSITY OF SOUTHERN CALIFORNIA
Alberto Conte,ALCATEL
Alberto Garcia-Martinez,UNIVERSITY CARLOS III OF MADRID
Alberto Leiva Popper,NETWORK INFORMATION CENTER MEXICO
Alberto Martinez,TECNOLOGICO DE MONTERREY
Alberto Perez,"DATABILITY, INC."
Albin Schaetzle,ALCATEL
Albin Warth,NETSCOUT SYSTEMS INC
Albrecht Kraas,INTRANET GMBH
Aldo Aprile,CISCO SYSTEMS INC
Alec Brusilovsky,ALCATEL-LUCENT S.A
Alec Dun,MICROSOFT
Aled Edwards,HEWLETT-PACKARD COMPANY
Alegbe Bodo Richmond,KANA-PUB
Alejandro Flores,UNIVERSITY COLLEGE LONDON
Alejandro Ortiz,ITESM
Alejandro Rios,KIO NETWORKS
Alejandro Romero,IG NETWORKS
Alejandro Sabolansky,UNLP
Aleks Totic,UNIVERSITY OF ILLINOIS
Aleksandr Ryabin,FTP SOFTWARE
Aleksey Romanov,"PAUL FREEMAN ASSOCIATES, INC."
Alessandro Armando,DIST - UNIVERSITY OF GENOVA
Alessandro Cajano,TELECOM ITALIA S.P.A
Alessandro Faure Ragani,TELECOM ITALIA S.P.A
Alessandro Salvatori,BRITISH TELECOMMUNICATIONS PLC
Alessio Casati,ALCATEL-LUCENT S.A
Alex Brand,BRITISH TELECOMMUNICATIONS PLC
Alex Chiu,"SUN MICROSYSTEMS, INC."
Alex Conta,TRANSWITCH
Alex Doyle,BROADSOFT
Alex Eleftheriadis,LAYERED MEDIA INC.
Alex Ho,SINGCERT
Alex Hopmann,MICROSOFT
Alex Leung,COMCAST
Alex Miroshnichenko,VERITAS SOFTWARE CORPORATION
Alex Nishri,UNIVERSITY OF TORONTO
Alex Reith,MICROSOFT
Alex Skurikhin,ORACLE
Alex Snoeren,BBN CORPORATION
Alex Swain,SPRINT CORPORATION
Alex Toth,INTEL CORPORATION
Alex Wang,CISCO SYSTEMS INC
Alexander Ahring,PENGUTRONIX
Alexander Avilov,TELEGLOBE INTERNATIONAL CORPORATION
Alexander Engman,TELIA AB
Alexander Fields Fields,AGIS
Alexander Froestl,DEUTSCHE TELEKOM AG
Alexander Galitsky,ELVIS-PLUS
Alexander Gall,SWITCH
Alexander Gelman,PANASONIC CORPORATION
Alexander Hertwig,UNIVERSITY OF BONN
Alexander Klein,TECHNICAL UNIVERSITY MUNICH
Alexander Krotov,NAMESURFER LTD
Alexander Latzko,RUTGERS UNIVERSITY
Alexander Lei,"SUN MICROSYSTEMS, INC."
Alexander Medvinsky,MOTOROLA MOBILITY
Alexander Navrose Mensah,GAMCOM INSTITUTE
Alexander Pilger,SIEMENS AG
Alexander Polischuk,RADLINX
Alexander Reznik,INTERDIGITAL COMMUNICATIONS
Alexander Terczka,ALEXANDER TERCZKA
